,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
21,bébé,baby
22,longtemps,long time
23,heures,hours
24,vont,will
25,pendant,while
26,revoir,meet again
27,aucune,any
28,place,square
29,parle,speak
30,compris,understood
31,savais,knew
32,étaient,were
33,attention,Warning
34,voici,here is
35,pourrais,could
36,affaire,case
37,type,type
38,leurs,their
39,donné,given
40,train,train
41,corps,body
42,endroit,place
43,yeux,eyes
44,façon,way
45,écoute,listen
46,dont,whose
47,trouve,find
48,premier,first
49,perdu,lost
50,main,hand
51,première,first
52,côté,side
53,pouvoir,power
54,vieux,old
55,sois,be
56,tiens,here
57,matin,morning
58,tellement,so much
59,enfant,child
60,point,point
61,venu,came
62,suite,after
63,pardon,sorry
64,venez,come
65,devant,in front of
66,vers,towards
67,minutes,minutes
68,demandé,request
69,chambre,bedroom
70,mis,placed
71,belle,beautiful
72,droit,law
73,aimerais,would like to
74,aujourd'hui,today
75,mari,husband
76,cause,cause
77,enfin,finally
78,espère,hope
79,eau,water
80,attendez,Wait
81,parti,left
82,nouvelle,new
83,arrêter,Stop
84,dirait,would say
85,terre,Earth
86,compte,account
87,donne,given
88,loin,far
89,fin,end
90,croire,believe
91,chérie,sweetheart
92,gros,large
93,plutôt,rather
94,aura,will have
95,filles,girls
96,jouer,to play
97,bureau,office
